Raw_file,Leading_razor_protein,Amino_acid,PTM,Amino_acid_count,Conversion_count,Total_abundance_count,Conversion_ratio,Boostrap_mean_converion_ratio,Q95_low,Q95_up
M4,UPI0005406912_COL1A1,N,Deamidation (NQ),1,0,1,0.0,0.0,0.0,0.0
M4,UPI0021170F6F_COL1A2,N,Deamidation (NQ),8,3,10,0.3,0.3113455627705632,0.07142857142857142,0.5555555555555556
M5,UPI0001C5C769_COL1A2,N,Deamidation (NQ),34,27,42,0.7738095238095238,0.7780505491669375,0.5920753588516746,0.9063045058139535
M5,UPI0001C5CC19_COL2A1,N,Deamidation (NQ),2,0,1,0.0,0.0,0.0,0.0
M5,UPI0005406719_AMELX,N,Deamidation (NQ),1,1,1,1.0,1.0,1.0,1.0
M5,UPI0021160426_COL1A1,N,Deamidation (NQ),5,2,5,0.4,0.40059999999999807,0.0,0.8
